episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,1.1068690879999963,True,False
2,460.0,702,1087,0.2,0.025979158278046685,4.954409018000035,True,False
3,430.0,506,1593,0.2,0.02794724715026609,8.214901131000033,True,False
4,970.0,746,2339,0.2,0.026537108618887494,11.339333850999992,True,False
5,220.0,297,2636,0.2,0.022073056170096,12.386198632000003,True,False
6,1320.0,824,3460,0.2,0.028429428464097302,15.136419121000017,True,False
7,450.0,564,4024,0.2,0.028762877154649494,17.617742813999996,True,False
8,550.0,915,4939,0.2,0.03098462965633524,20.521313373999988,True,False
9,550.0,763,5702,0.2,0.03148178815998927,22.94712099000003,True,False
10,960.0,570,6272,0.2,0.0332281378218318,24.817414762999988,True,False
11,310.0,423,6695,0.2,0.03275107280628401,26.24318140400004,True,False
12,660.0,621,7316,0.2,0.03253131299145305,28.81317788800004,True,False
13,310.0,572,7888,0.2,0.03302523642013149,31.105882716999986,True,False
14,1030.0,934,8822,0.2,0.035496885481574314,34.09034883700002,True,False
15,420.0,492,9314,0.2,0.03687260810634106,35.74928325799999,True,False
16,500.0,529,9843,0.2,0.0361104220289483,37.480505600000015,True,False
17,360.0,550,10393,0.2,0.034296076560048794,39.28800973099999,True,False
18,360.0,452,10845,0.2,0.03561471456010719,40.98007847100001,True,False
19,330.0,531,11376,0.2,0.038710159743274734,43.155115489000025,True,False
20,270.0,471,11847,0.2,0.035166512044449136,44.72313918399999,True,False
21,1180.0,597,12444,0.2,0.03662200956450155,46.682433160000016,True,False
22,440.0,459,12903,0.2,0.04408011034033016,48.20345949900002,True,False
23,410.0,385,13288,0.2,0.04329511329781303,49.54520486300004,True,False
24,710.0,722,14010,0.2,0.04109030803924219,51.887985668,True,False
25,500.0,536,14546,0.2,0.04125082749810848,53.955913666000015,True,False
26,280.0,385,14931,0.2,0.04621459570140966,57.3952147,True,False
27,430.0,476,15407,0.2,0.0432887604976652,58.999334591000036,True,False
28,980.0,778,16185,0.2,0.052424328764661764,61.62787733600004,True,False
29,520.0,638,16823,0.2,0.04960186332874234,63.70025364500003,True,False
30,1320.0,805,17628,0.2,0.049195594082835435,66.69604859200001,True,False
31,310.0,460,18088,0.2,0.04882096204218333,68.51143852199999,True,False
32,330.0,491,18579,0.2,0.04861692414756437,70.17145791000002,True,False
33,300.0,460,19039,0.2,0.051852341494320525,71.77632659,True,False
34,420.0,479,19518,0.2,0.04767610180812577,73.41090789700002,True,False
35,500.0,652,20170,0.2,0.04588863614695204,75.541927526,True,False
36,280.0,451,20621,0.2,0.04920552957770044,77.06851321100004,True,False
37,510.0,600,21221,0.2,0.049674700275063516,79.488338639,True,False
38,200.0,344,21565,0.2,0.04562360913286982,80.825752529,True,False
39,780.0,648,22213,0.2,0.04491097998897327,83.23601586199999,True,False
40,1050.0,779,22992,0.2,0.04479534936089737,86.38063771899999,True,False
41,970.0,736,23728,0.2,0.04488380605344782,88.77865699099999,True,False
42,3300.0,1204,24932,0.2,0.04707277456818278,93.268092922,True,False
43,370.0,434,25366,0.2,0.050857590735648515,94.79273139500003,True,False
44,360.0,372,25738,0.2,0.05335944914509372,96.098578573,True,False
45,270.0,335,26073,0.2,0.048594589943864515,97.28809174600002,True,False
46,650.0,628,26701,0.2,0.04921932501279434,99.34067550000003,True,False
47,620.0,763,27464,0.2,0.05368368184993638,101.81102851399999,True,False
48,510.0,591,28055,0.2,0.05078575212102966,104.11569832600003,True,False
49,380.0,514,28569,0.2,0.05477108574623978,106.05544279399999,True,False
50,450.0,495,29064,0.2,0.058107500204876546,107.70804327299999,True,False
51,530.0,641,29705,0.2,0.05397048881859519,111.49607070600001,True,False
52,350.0,352,30057,0.2,0.05612001278628172,112.69558851200003,True,False
53,720.0,734,30791,0.2,0.054373893082711865,115.192333083,True,False
54,750.0,757,31548,0.2,0.053316143958976395,118.179099098,True,False
55,490.0,500,32048,0.2,0.05546330762282014,119.87291553300003,True,False
56,310.0,384,32432,0.2,0.05554219243640546,121.203824784,True,False
57,1200.0,699,33131,0.2,0.051972144390402854,123.47450994600001,True,False
58,1040.0,843,33974,0.2,0.056033552666216804,126.22378997100003,True,False
59,760.0,576,34550,0.2,0.05430238170730364,128.40098753400002,True,False
60,350.0,403,34953,0.2,0.06458408168821346,130.187051339,True,False
61,410.0,387,35340,0.2,0.0685324056899732,131.538144789,True,False
62,420.0,518,35858,0.2,0.06134964792823144,133.25141682100002,True,False
63,410.0,504,36362,0.2,0.06618354150227138,134.970102753,True,False
64,630.0,541,36903,0.2,0.07071805480453704,136.774337124,True,False
65,890.0,557,37460,0.2,0.06337577487741197,138.608374853,True,False
66,440.0,460,37920,0.2,0.06768547641518323,140.274403448,True,False
67,380.0,382,38302,0.2,0.07054021494757189,142.06848208600002,True,False
68,900.0,680,38982,0.2,0.06722793297787362,144.344629419,True,False
69,1530.0,781,39763,0.2,0.07185087183442636,146.88144708700003,True,False
70,510.0,577,40340,0.2,0.07058940545238297,148.82009508,True,False
71,970.0,765,41105,0.2,0.06427431938906458,151.287397262,True,False
72,1740.0,879,41984,0.2,0.06642480552281169,154.720249168,True,False
73,400.0,406,42390,0.2,0.07427491007907557,156.109907889,True,False
74,660.0,649,43039,0.2,0.06927659900077147,158.27364395399997,True,False
75,1490.0,824,43863,0.2,0.06579987028414763,160.92931912700004,True,False
76,580.0,795,44658,0.2,0.06429956968050057,165.47111321699998,True,False
77,330.0,357,45015,0.2,0.05971428492430891,167.13967125799996,True,False
78,1090.0,915,45930,0.2,0.06645402701888803,170.06961751600005,True,False
79,840.0,755,46685,0.2,0.062306734622411784,172.491810521,True,False
80,1210.0,664,47349,0.2,0.06654567959864276,174.63680845900006,True,False
81,470.0,486,47835,0.2,0.06167739828325008,176.28537042199997,True,False
82,390.0,463,48298,0.2,0.07942693989226145,178.03261122300006,True,False
83,1470.0,826,49124,0.2,0.06206355274065537,181.158717986,True,False
84,1070.0,763,49887,0.2,0.07435730312901892,183.632182763,True,False
85,660.0,558,50445,0.2,0.06711993605962821,185.46567009200004,True,False
86,540.0,461,50906,0.2,0.06791145154477461,187.05021575400002,True,False
87,740.0,684,51590,0.2,0.06677483070140694,189.27228667900005,True,False
88,400.0,459,52049,0.2,0.0763229665832351,191.18915954599998,True,False
89,1030.0,629,52678,0.2,0.06706915520558691,193.570770514,True,False
90,1350.0,1097,53775,0.2,0.07281233692528123,197.06096564,True,False
91,280.0,386,54161,0.2,0.06555086725689087,198.398118916,True,False
92,460.0,553,54714,0.2,0.06887485341344407,200.22081477500006,True,False
93,650.0,596,55310,0.2,0.07007509732506419,202.22229068899998,True,False
94,360.0,407,55717,0.2,0.07942752244279665,204.04138007700004,True,False
95,220.0,364,56081,0.2,0.07625298965517636,205.518108263,True,False
96,1240.0,667,56748,0.2,0.07786051098614218,207.72078280099998,True,False
97,830.0,719,57467,0.2,0.07408270289257751,210.073847585,True,False
98,470.0,506,57973,0.2,0.08134209713715268,211.76732151200002,True,False
99,580.0,583,58556,0.2,0.07607540257964028,213.68321117800002,True,False
100,1100.0,795,59351,0.2,0.07882867129331436,216.63939549599996,True,False
101,660.0,661,60012,0.2,0.08618571341643672,220.68788404100002,True,False
102,570.0,565,60577,0.2,0.08180365508012738,222.530763433,True,False
103,340.0,434,61011,0.2,0.08842844838552454,224.033539599,True,False
104,1250.0,782,61793,0.2,0.080911318800051,226.57158359400006,True,False
105,880.0,756,62549,0.2,0.06956304007126067,229.540826117,True,False
106,580.0,619,63168,0.2,0.07741621571683115,231.55038428300003,True,False
107,470.0,503,63671,0.2,0.06608081343024969,233.208961784,True,False
108,520.0,726,64397,0.2,0.06650350605659597,235.52602056799998,True,False
109,1350.0,765,65162,0.2,0.06612314566170202,238.011765627,True,False
110,840.0,1016,66178,0.2,0.07011613609841255,241.82019154300002,True,False
111,840.0,799,66977,0.2,0.06928273258730769,244.43948731400002,True,False
112,610.0,608,67585,0.2,0.07256290086201932,246.43786154100002,True,False
113,550.0,539,68124,0.2,0.06988137826599457,248.24983647599998,True,False
114,970.0,855,68979,0.2,0.06806384138500607,251.01769018099998,True,False
115,1290.0,934,69913,0.2,0.06943465855259162,254.62298723600003,True,False
116,450.0,379,70292,0.2,0.07033229809450475,255.95114298000004,True,False
117,220.0,293,70585,0.2,0.0684125009949689,257.007279861,True,False
118,550.0,587,71172,0.2,0.09600336350449899,258.942199614,True,False
119,690.0,551,71723,0.2,0.08601313414745522,260.75371505900006,True,False
120,310.0,448,72171,0.2,0.07986690762585827,262.23485018499997,True,False
121,730.0,572,72743,0.2,0.07139569352921489,264.101052262,True,False
122,2450.0,781,73524,0.2,0.09375008471709277,267.33727811399996,True,False
123,450.0,512,74036,0.2,0.085575192442775,269.16145764000004,True,False
124,300.0,404,74440,0.2,0.09042245792317213,270.59612050100003,True,False
125,1110.0,745,75185,0.2,0.0780224831554518,273.12146746800005,True,False
126,440.0,687,75872,0.2,0.08520104464814933,277.196092039,True,False
127,290.0,403,76275,0.2,0.0867926705814898,279.0262486,True,False
128,200.0,353,76628,0.2,0.0960222240746691,280.46339250500006,True,False
129,830.0,694,77322,0.2,0.09016100859883204,282.832186012,True,False
130,550.0,633,77955,0.2,0.10167903922309604,284.894525965,True,False
131,390.0,450,78405,0.2,0.08876802029698032,286.404642734,True,False
132,860.0,672,79077,0.2,0.09315268924027416,288.673970873,True,False
133,320.0,404,79481,0.2,0.09040645631675673,290.328099741,True,False
134,260.0,313,79794,0.2,0.10412243519646999,291.875619243,True,False
135,1820.0,763,80557,0.2,0.09201173403383238,294.42266604499997,True,False
136,960.0,924,81481,0.2,0.083804911401655,297.40444681800005,True,False
137,390.0,398,81879,0.2,0.08229632845919843,298.758820801,True,False
138,320.0,384,82263,0.2,0.08273593294628274,300.099196317,True,False
139,650.0,556,82819,0.2,0.0935067244865697,301.979886129,True,False
140,1310.0,792,83611,0.2,0.11019880686783129,305.13659366100006,True,False
141,2350.0,1081,84692,0.2,0.08098294581131961,308.552487362,True,False
