episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.5976574640000081,True,False
2,460.0,702,1087,0.2,0.025979085280348292,1.7155919790000098,True,False
3,430.0,506,1593,0.2,0.027947434275750232,3.3889044000000013,True,False
4,970.0,746,2339,0.2,0.02654104334801706,5.841730570999999,True,False
5,370.0,423,2762,0.2,0.022685824543894444,7.303935880000012,True,False
6,540.0,496,3258,0.2,0.029209040227391188,8.969245973,True,False
7,390.0,430,3688,0.2,0.03021031066331219,10.747846178000003,True,False
8,800.0,755,4443,0.2,0.034007792234138405,13.531754596000013,True,False
9,300.0,421,4864,0.2,0.03684923198361846,14.984266394000002,True,False
10,360.0,360,5224,0.2,0.03498992654494941,16.24261237500002,True,False
11,390.0,427,5651,0.2,0.03441105884245052,17.700131459000005,True,False
12,200.0,367,6018,0.2,0.035913493529812476,18.970156652000014,True,False
13,640.0,642,6660,0.2,0.037379751618957346,21.074993149000022,True,False
14,430.0,650,7310,0.2,0.03780122546847036,23.60679685300002,True,False
15,720.0,634,7944,0.2,0.03648107073785233,25.962830361000016,True,False
16,960.0,715,8659,0.2,0.036386135619609836,28.27012155700001,True,False
17,1110.0,778,9437,0.2,0.03898010095820213,30.779738758000008,True,False
18,850.0,814,10251,0.2,0.03986465594653279,33.36137580500002,True,False
19,660.0,691,10942,0.2,0.036016687974226094,35.96796703300001,True,False
20,690.0,655,11597,0.2,0.04245070493268985,38.390632408000016,True,False
21,880.0,913,12510,0.2,0.0420297534131494,41.29525918900001,True,False
22,780.0,739,13249,0.2,0.04123772040978577,43.814379726,True,False
23,1270.0,717,13966,0.2,0.04409589555098899,46.331172243000026,True,False
24,520.0,598,14564,0.2,0.04138051884869735,48.782846638000024,True,False
25,1080.0,928,15492,0.2,0.039126374425591325,51.98572767800002,True,False
26,600.0,643,16135,0.2,0.04091370608948637,57.033704379,True,False
27,410.0,582,16717,0.2,0.0402319758431986,59.046380094,True,False
28,450.0,470,17187,0.2,0.04437271550966379,60.979136907000026,True,False
29,1810.0,844,18031,0.2,0.041747355753096856,63.988826999000025,True,False
30,500.0,499,18530,0.2,0.046777410000562666,65.67563743300002,True,False
31,230.0,358,18888,0.2,0.046125357039272785,67.067261056,True,False
32,1340.0,793,19681,0.2,0.05181947675759368,69.821394782,True,False
33,490.0,504,20185,0.2,0.05285409842396066,71.59180573900002,True,False
34,510.0,521,20706,0.2,0.05745099107734859,73.85918932300001,True,False
35,720.0,642,21348,0.2,0.057573619904575046,76.280648858,True,False
36,2050.0,675,22023,0.2,0.05952263940014832,78.58279501000001,True,False
37,330.0,456,22479,0.2,0.0563237755232605,80.338072912,True,False
38,410.0,518,22997,0.2,0.05461423959439764,82.33786855600002,True,False
39,550.0,518,23515,0.2,0.05817487485735685,84.21704356800001,True,False
40,300.0,357,23872,0.2,0.06047017611563206,85.83378761600002,True,False
41,1420.0,820,24692,0.2,0.05679229912234516,89.002622231,True,False
42,930.0,692,25384,0.2,0.0540079959652069,91.39230056500003,True,False
43,410.0,592,25976,0.2,0.05124767324761362,93.44415213000002,True,False
44,240.0,438,26414,0.2,0.06361511320627611,94.988977987,True,False
45,470.0,455,26869,0.2,0.05677270734061798,96.60005473400003,True,False
46,400.0,420,27289,0.2,0.05979627023140589,98.403091018,True,False
47,330.0,445,27734,0.2,0.057984798911724006,100.329253139,True,False
48,940.0,973,28707,0.2,0.05842872299713853,103.49835248100004,True,False
49,460.0,588,29295,0.2,0.05683034619151735,105.48068692499999,True,False
50,540.0,529,29824,0.2,0.0600465710617994,107.3363632,True,False
