episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated,learning_rate
85,240.0,469,49250,0.2,0.07433609881748755,189.84196053700003,True,False,0.0001
86,830.0,752,50002,0.2,0.07287991256453097,192.53620317999997,True,False,0.0001
87,1310.0,941,50943,0.2,0.07064906272323841,196.36393856699993,True,False,0.0001
88,790.0,665,51608,0.2,0.07679087126594104,198.679877041,True,False,0.0001
89,850.0,660,52268,0.2,0.07686723849425713,201.02802107199994,True,False,0.0001
90,1600.0,784,53052,0.2,0.07054786553264272,203.71196063999997,True,False,0.0001
91,580.0,815,53867,0.2,0.06321428937773252,207.03766888,True,False,0.0001
92,450.0,665,54532,0.2,0.061138616874814034,209.60984136899998,True,False,0.0001
93,780.0,651,55183,0.2,0.06966649430493514,211.92648150899998,True,False,0.0001
94,940.0,724,55907,0.2,0.07015601901635939,214.43130687699994,True,False,0.0001
95,990.0,653,56560,0.2,0.0719262016482833,216.750403039,True,False,0.0001
96,1060.0,935,57495,0.2,0.07179634679756387,220.61160059000002,True,False,0.0001
97,1040.0,820,58315,0.2,0.06335101091280217,223.44019927699998,True,False,0.0001
98,420.0,501,58816,0.2,0.07728044409304857,225.22522375,True,False,0.0001
99,690.0,805,59621,0.2,0.07679193811630135,227.97478845099994,True,False,0.0001
100,460.0,692,60313,0.2,0.0738345509626488,230.476538446,True,False,0.0001
101,640.0,834,61147,0.2,0.07008265181838606,236.13831632699993,True,False,0.0001
102,890.0,650,61797,0.2,0.07778410122164188,238.41351174699997,True,False,0.0001
103,390.0,444,62241,0.2,0.08737167588493845,240.04792465199995,True,False,0.0001
104,980.0,857,63098,0.2,0.07940150795626306,242.99081499300001,True,False,0.0001
105,740.0,605,63703,0.2,0.08451245130588676,245.77529122899995,True,False,0.0001
106,580.0,600,64303,0.2,0.07888192437589168,247.878190006,True,False,0.0001
107,370.0,482,64785,0.2,0.09091171431393663,249.59115220099994,True,False,0.0001
108,620.0,571,65356,0.2,0.07757838354348302,251.60826369599994,True,False,0.0001
109,450.0,422,65778,0.2,0.09091471501049542,253.14875826600002,True,False,0.0001
110,410.0,592,66370,0.2,0.08556195132660906,255.213871612,True,False,0.0001
111,520.0,562,66932,0.2,0.08769076396810248,257.64271428800004,True,False,0.0001
112,230.0,417,67349,0.2,0.09681301212941225,259.36559756799994,True,False,0.0001
113,1010.0,710,68059,0.2,0.09186259750802975,261.822960947,True,False,0.0001
114,550.0,583,68642,0.2,0.09068598966943482,263.913460146,True,False,0.0001
115,670.0,539,69181,0.2,0.09117184221330617,265.88084282200003,True,False,0.0001
116,530.0,491,69672,0.2,0.10216951941147567,267.6550323889999,True,False,0.0001
117,280.0,330,70002,0.2,0.08581993393827139,269.18503506099995,True,False,0.0001
118,600.0,508,70510,0.2,0.095274630992666,271.48440657099997,True,False,0.0001
119,630.0,604,71114,0.2,0.103860999624066,273.59374378699994,True,False,0.0001
120,1130.0,602,71716,0.2,0.09131895378232002,275.702443083,True,False,0.0001
121,440.0,388,72104,0.2,0.09306368780965657,277.15746691499993,True,False,0.0001
122,590.0,650,72754,0.2,0.09650048191578668,279.49051325,True,False,0.0001
123,510.0,511,73265,0.2,0.10185183258727193,281.46159148299995,True,False,0.0001
124,730.0,781,74046,0.2,0.09602042412719665,284.718302714,True,False,0.0001
125,520.0,639,74685,0.2,0.09724844055017456,286.989088931,True,False,0.0001
126,570.0,625,75310,0.2,0.08855720789720997,291.52225573699997,True,False,8e-05
127,370.0,451,75761,0.2,0.09333723134863957,293.175362497,True,False,8e-05
128,770.0,774,76535,0.2,0.0869757413256122,296.5701017669999,True,False,8e-05
129,310.0,452,76987,0.2,0.07968913600574025,298.246017129,True,False,8e-05
130,970.0,652,77639,0.2,0.08390044054713534,300.55364387899994,True,False,8e-05
131,430.0,549,78188,0.2,0.09831258356301249,302.50596384,True,False,8e-05
132,240.0,378,78566,0.2,0.08158460458582069,303.904791184,True,False,8e-05
133,470.0,458,79024,0.2,0.09135802005944045,305.57958386699994,True,False,8e-05
134,330.0,370,79394,0.2,0.09274235094452034,307.107351144,True,False,8e-05
135,220.0,378,79772,0.2,0.11236305838744891,309.010551046,True,False,8e-05
136,230.0,338,80110,0.2,0.12387753561848686,310.286147245,True,False,8e-05
137,490.0,454,80564,0.2,0.1151070202161607,311.945444323,True,False,8e-05
138,510.0,452,81016,0.2,0.10987717705259545,313.628101535,True,False,8e-05
139,1620.0,1434,82450,0.2,0.10310671776897332,318.568384193,True,False,8e-05
140,430.0,495,82945,0.2,0.10504883568313333,320.7459757,True,False,8e-05
141,660.0,634,83579,0.2,0.07886779805220946,323.285960558,True,False,8e-05
142,380.0,494,84073,0.2,0.10122444120145613,325.01876722599997,True,False,8e-05
143,530.0,515,84588,0.2,0.0985232538132127,326.85498447799995,True,False,8e-05
144,270.0,460,85048,0.2,0.089566380392922,328.512829181,True,False,8e-05
145,440.0,507,85555,0.2,0.09321731401400433,330.33235245500003,True,False,8e-05
146,2060.0,837,86392,0.2,0.09103632512103234,333.68931783599993,True,False,8e-05
147,390.0,441,86833,0.2,0.08798304176466032,335.524949813,True,False,8e-05
148,530.0,494,87327,0.2,0.11349569545771049,337.26840230199997,True,False,8e-05
149,2130.0,745,88072,0.2,0.09733862721206829,339.903439657,True,False,8e-05
150,560.0,502,88574,0.2,0.10980819760262966,341.69550532299996,True,False,8e-05
151,460.0,566,89140,0.2,0.08867255340225365,345.99837262599993,True,False,8e-05
152,990.0,749,89889,0.2,0.092093764869048,348.94608211099995,True,False,8e-05
153,640.0,556,90445,0.2,0.09731367904451682,350.965830542,True,False,8e-05
154,680.0,566,91011,0.2,0.08928026204783443,353.00522379,True,False,8e-05
155,410.0,510,91521,0.2,0.10402677739330102,354.87613034500004,True,False,8e-05
156,670.0,500,92021,0.2,0.10153659544885159,356.660423856,True,False,8e-05
157,1510.0,1074,93095,0.2,0.09826326884551724,360.986641509,True,False,8e-05
158,1410.0,884,93979,0.2,0.08794317816750766,364.06766697099994,True,False,8e-05
159,1430.0,786,94765,0.2,0.08666752646606284,366.83176648700004,True,False,8e-05
160,1380.0,958,95723,0.2,0.09314542784156847,370.29323512799994,True,False,8e-05
161,310.0,319,96042,0.2,0.0952675249427557,371.95101592,True,False,8e-05
162,400.0,436,96478,0.2,0.09140204038436807,373.709943463,True,False,8e-05
163,430.0,444,96922,0.2,0.08983228164347443,375.385071246,True,False,8e-05
164,930.0,875,97797,0.2,0.07375104217598699,378.44883147499996,True,False,8e-05
165,450.0,415,98212,0.2,0.0935762990713836,379.97254995399993,True,False,8e-05
166,1580.0,706,98918,0.2,0.10068104712991044,382.478207336,True,False,8e-05
167,380.0,468,99386,0.2,0.09820709387079263,384.71991365599996,True,False,8e-05
168,320.0,511,99897,0.2,0.09702326971455477,386.653544532,True,False,8e-05
169,1040.0,923,100820,0.2,0.09890247909231233,389.93093930899994,True,False,8e-05
170,1190.0,712,101532,0.2,0.10341938008460101,392.47265652100003,True,False,8e-05
171,480.0,537,102069,0.2,0.10270417373238215,394.403393043,True,False,8e-05
172,870.0,683,102752,0.2,0.10244835765585739,397.37118894500003,True,False,8e-05
173,330.0,376,103128,0.2,0.12435510780345252,398.95016348400003,True,False,8e-05
174,470.0,482,103610,0.2,0.09578319783322513,400.715559627,True,False,8e-05
175,520.0,728,104338,0.2,0.0980536043336922,403.258320061,True,False,8e-05
176,260.0,473,104811,0.2,0.0921672173475815,406.66377446300004,True,False,8e-05
177,530.0,465,105276,0.2,0.09452464125859432,408.53097409799994,True,False,8e-05
178,480.0,547,105823,0.2,0.10549341804375324,411.02699308199993,True,False,8e-05
179,680.0,691,106514,0.2,0.1119571611597445,413.50708328,True,False,8e-05
180,400.0,431,106945,0.2,0.10410379413170395,415.11909348699993,True,False,8e-05
181,440.0,443,107388,0.2,0.1247927836301896,416.71722907500003,True,False,8e-05
182,300.0,471,107859,0.2,0.1313711528180756,418.44040618599996,True,False,8e-05
183,540.0,554,108413,0.2,0.10948025061340212,420.444332945,True,False,8e-05
184,180.0,324,108737,0.2,0.10713939789544653,422.034595205,True,False,8e-05
185,1570.0,818,109555,0.2,0.10391873028129339,425.16739335799997,True,False,8e-05
186,880.0,878,110433,0.2,0.11706652278080583,428.21389281499995,True,False,8e-05
187,660.0,553,110986,0.2,0.09607729915043582,430.23701611999996,True,False,8e-05
188,620.0,549,111535,0.2,0.11012372142043862,432.205347441,True,False,8e-05
189,1020.0,580,112115,0.2,0.1021003336549319,434.61575407799995,True,False,8e-05
190,700.0,677,112792,0.2,0.11109694559127092,437.36203162499993,True,False,8e-05
191,590.0,498,113290,0.2,0.09781179312736757,439.213383997,True,False,8e-05
192,800.0,557,113847,0.2,0.11353045535816562,441.22392249,True,False,8e-05
193,660.0,784,114631,0.2,0.11030701575420644,443.979697264,True,False,8e-05
194,1230.0,765,115396,0.2,0.11640688244369812,446.987074477,True,False,8e-05
195,1160.0,1162,116558,0.2,0.10576651630088173,451.480785519,True,False,8e-05
196,610.0,607,117165,0.2,0.09138823300600052,453.69646099100004,True,False,8e-05
197,540.0,570,117735,0.2,0.10031839170243959,455.824344499,True,False,8e-05
198,250.0,345,118080,0.2,0.09533736021953752,457.148589008,True,False,8e-05
199,620.0,550,118630,0.2,0.10605871962913632,459.34406887200004,True,False,8e-05
200,380.0,418,119048,0.2,0.08686654635128521,461.383353572,True,False,8e-05
201,320.0,343,119391,0.2,0.11687202827237984,465.130272705,True,False,8e-05
202,1830.0,973,120364,0.2,0.10727339055480771,468.54435508699993,True,False,8e-05
203,500.0,522,120886,0.2,0.10298045334191276,470.44795267399996,True,False,8e-05
204,670.0,594,121480,0.2,0.09723127665835739,472.97037148299995,True,False,8e-05
205,660.0,658,122138,0.2,0.09467610556109832,475.67292444000003,True,False,8e-05
206,830.0,606,122744,0.2,0.10491649573668838,477.87564666199995,True,False,8e-05
207,400.0,454,123198,0.2,0.1038555198934226,479.556984698,True,False,8e-05
208,1130.0,577,123775,0.2,0.11072680273274374,481.71464358,True,False,8e-05
209,410.0,406,124181,0.2,0.11204317968119593,483.23599907399995,True,False,8e-05
210,890.0,764,124945,0.2,0.10511583094704526,486.627194815,True,False,8e-05
211,1170.0,657,125602,0.2,0.10196558011286869,488.986336561,True,False,8e-05
212,250.0,345,125947,0.2,0.09799408722062443,490.290004723,True,False,8e-05
213,720.0,589,126536,0.2,0.10124998150796101,492.452764822,True,False,8e-05
214,400.0,478,127014,0.2,0.1121419576943672,494.20027663699994,True,False,8e-05
215,340.0,462,127476,0.2,0.11985873687883904,495.96640668599997,True,False,8e-05
216,760.0,909,128385,0.2,0.11743485251860078,499.865284616,True,False,8e-05
217,1030.0,848,129233,0.2,0.10152562475271242,502.903639132,True,False,8e-05
218,400.0,414,129647,0.2,0.10559652861460898,504.44380543899996,True,False,8e-05
219,510.0,482,130129,0.2,0.10805625984953209,506.22577216299993,True,False,8e-05
220,610.0,599,130728,0.2,0.11910332207878431,508.39855703899997,True,False,8e-05
221,520.0,487,131215,0.2,0.12294133521678034,510.48566442199996,True,False,8e-05
222,510.0,490,131705,0.2,0.09627334014853327,512.8030474320001,True,False,8e-05
223,410.0,506,132211,0.2,0.11645172217062541,514.668297248,True,False,8e-05
224,450.0,484,132695,0.2,0.11589830521155488,516.4835187399999,True,False,8e-05
225,1200.0,723,133418,0.2,0.11486866756326915,519.12251707,True,False,8e-05
226,1190.0,744,134162,0.2,0.10330258097038955,524.160990185,True,False,8e-05
227,670.0,602,134764,0.2,0.10763417827027129,526.6837765129999,True,False,8e-05
228,690.0,562,135326,0.2,0.12445487325478877,528.7691943929999,True,False,8e-05
229,840.0,826,136152,0.2,0.1016438851483922,531.773763341,True,False,8e-05
230,2220.0,1088,137240,0.2,0.10647329006015378,535.885733398,True,False,8e-05
231,670.0,469,137709,0.2,0.09335853896525681,538.2299226749999,True,False,8e-05
232,1590.0,825,138534,0.2,0.10089300217070771,541.20325043,True,False,8e-05
233,320.0,521,139055,0.2,0.0868907984919273,543.141862429,True,False,8e-05
234,290.0,493,139548,0.2,0.09814314931751258,544.9570060639999,True,False,8e-05
235,490.0,531,140079,0.2,0.09279005515219813,546.9201764080001,True,False,8e-05
236,140.0,359,140438,0.2,0.09517453284934163,548.456296911,True,False,8e-05
237,600.0,541,140979,0.2,0.08021477812694179,551.001595901,True,False,8e-05
238,440.0,501,141480,0.2,0.09188443661800452,552.85761028,True,False,8e-05
239,1220.0,664,142144,0.2,0.08851294660469494,555.226824046,True,False,8e-05
240,1140.0,851,142995,0.2,0.116863480088178,558.28011214,True,False,8e-05
241,780.0,675,143670,0.2,0.10738911414684275,560.753123406,True,False,8e-05
242,380.0,454,144124,0.2,0.08774139715783429,563.021603427,True,False,8e-05
243,560.0,514,144638,0.2,0.10494849208771484,565.0655024079999,True,False,8e-05
244,360.0,467,145105,0.2,0.10784152081697924,566.81862043,True,False,8e-05
245,510.0,557,145662,0.2,0.10370725976209418,568.8124200459999,True,False,8e-05
246,200.0,334,145996,0.2,0.10137915855184906,570.0929517980001,True,False,8e-05
247,1080.0,920,146916,0.2,0.11880404406591602,573.423974116,True,False,8e-05
248,420.0,397,147313,0.2,0.10553043363898089,575.4025328380001,True,False,8e-05
249,310.0,398,147711,0.2,0.1192308252094069,577.157019369,True,False,8e-05
250,430.0,562,148273,0.2,0.10790862521513346,579.1833591520001,True,False,8e-05
251,470.0,546,148819,0.2,0.11648716772769523,582.941524092,True,False,6.400000000000001e-05
252,390.0,388,149207,0.2,0.11467131985754696,584.3942309270001,True,False,6.400000000000001e-05
253,360.0,461,149668,0.2,0.10893951903964424,586.151150934,True,False,6.400000000000001e-05
254,1280.0,554,150222,0.2,0.12656691712259815,588.793370675,True,False,6.400000000000001e-05
255,260.0,385,150607,0.2,0.11439508046411599,590.214936846,True,False,6.400000000000001e-05
256,420.0,430,151037,0.2,0.1240834766757433,591.8471677279999,True,False,6.400000000000001e-05
257,1600.0,1070,152107,0.2,0.11132668308592802,595.6393970849999,True,False,6.400000000000001e-05
258,510.0,460,152567,0.2,0.12351431385006593,597.342165606,True,False,6.400000000000001e-05
259,1040.0,706,153273,0.2,0.1352903959420273,600.212837434,True,False,6.400000000000001e-05
260,450.0,481,153754,0.2,0.1322602052008733,602.3667748949999,True,False,6.400000000000001e-05
261,580.0,555,154309,0.2,0.10604382937492655,604.418780622,True,False,6.400000000000001e-05
262,510.0,529,154838,0.2,0.1538395822104631,606.3443825229999,True,False,6.400000000000001e-05
263,1260.0,740,155578,0.2,0.09742227762031394,608.9199841259999,True,False,6.400000000000001e-05
264,890.0,675,156253,0.2,0.09748598388754405,611.291419014,True,False,6.400000000000001e-05
265,220.0,451,156704,0.2,0.09298001651742817,613.321748068,True,False,6.400000000000001e-05
266,400.0,443,157147,0.2,0.12185732359913262,615.278038506,True,False,6.400000000000001e-05
267,1390.0,738,157885,0.2,0.1159193040752733,617.858811952,True,False,6.400000000000001e-05
268,300.0,403,158288,0.2,0.1189883052749504,619.390044791,True,False,6.400000000000001e-05
269,430.0,450,158738,0.2,0.12802275484760425,621.039510331,True,False,6.400000000000001e-05
270,290.0,460,159198,0.2,0.1396157603872859,622.7594081899999,True,False,6.400000000000001e-05
271,380.0,413,159611,0.2,0.11129376451367314,624.334097596,True,False,6.400000000000001e-05
272,700.0,632,160243,0.2,0.11137860610232322,627.2874670629999,True,False,6.400000000000001e-05
273,220.0,470,160713,0.2,0.10500578751187709,629.0029321289999,True,False,6.400000000000001e-05
274,600.0,489,161202,0.2,0.11545190321983861,630.796294904,True,False,6.400000000000001e-05
275,1240.0,658,161860,0.2,0.11790414781620105,633.131407586,True,False,6.400000000000001e-05
276,420.0,426,162286,0.2,0.10725523629840815,636.833056382,True,False,6.400000000000001e-05
277,460.0,552,162838,0.2,0.10211458135450231,639.4070256059999,True,False,6.400000000000001e-05
278,620.0,613,163451,0.2,0.11749991735297383,641.7369996340001,True,False,6.400000000000001e-05
279,410.0,532,163983,0.2,0.10630742572528079,643.6544745639999,True,False,6.400000000000001e-05
280,420.0,448,164431,0.2,0.11345020487871287,645.3087265629999,True,False,6.400000000000001e-05
281,410.0,440,164871,0.2,0.10759310077198526,646.9912797279999,True,False,6.400000000000001e-05
282,500.0,633,165504,0.2,0.11808173110087712,649.2463164139999,True,False,6.400000000000001e-05
283,710.0,706,166210,0.2,0.11276897126597098,652.3143297270001,True,False,6.400000000000001e-05
284,360.0,366,166576,0.2,0.1337543566124109,653.731887726,True,False,6.400000000000001e-05
285,310.0,388,166964,0.2,0.13081693724181848,655.1729278779999,True,False,6.400000000000001e-05
286,750.0,719,167683,0.2,0.11886391669053938,657.687433366,True,False,6.400000000000001e-05
287,250.0,384,168067,0.2,0.11596615945260662,659.137599141,True,False,6.400000000000001e-05
288,520.0,571,168638,0.2,0.1450553006798654,661.2218271019999,True,False,6.400000000000001e-05
289,930.0,719,169357,0.2,0.13298502607891957,664.146900401,True,False,6.400000000000001e-05
290,560.0,515,169872,0.2,0.10625301671120548,666.26950334,True,False,6.400000000000001e-05
291,890.0,631,170503,0.2,0.10929440679681149,668.479891322,True,False,6.400000000000001e-05
292,640.0,556,171059,0.2,0.11798874767188974,670.481888303,True,False,6.400000000000001e-05
293,480.0,565,171624,0.2,0.11001897742315916,672.5188196639999,True,False,6.400000000000001e-05
294,230.0,347,171971,0.2,0.0965736627925274,673.822965797,True,False,6.400000000000001e-05
295,1790.0,1421,173392,0.2,0.10102237115896652,679.30778568,True,False,6.400000000000001e-05
296,660.0,597,173989,0.2,0.09084156298722397,681.435902467,True,False,6.400000000000001e-05
297,1550.0,645,174634,0.2,0.09143539495557917,683.7219456400001,True,False,6.400000000000001e-05
298,480.0,710,175344,0.2,0.08153514820412638,686.2180115600001,True,False,6.400000000000001e-05
299,1140.0,825,176169,0.2,0.09907075404686835,689.423144437,True,False,6.400000000000001e-05
300,400.0,497,176666,0.2,0.089468392873964,691.577122512,True,False,6.400000000000001e-05
301,190.0,412,177078,0.2,0.08496771282652049,695.1541622950001,True,False,6.400000000000001e-05
302,520.0,644,177722,0.2,0.1014370475519703,697.469367955,True,False,6.400000000000001e-05
303,450.0,548,178270,0.2,0.1018029947622414,699.4013257910001,True,False,6.400000000000001e-05
304,330.0,453,178723,0.2,0.108319846336293,701.17131965,True,False,6.400000000000001e-05
305,480.0,497,179220,0.2,0.0951706203520298,703.5505500910001,True,False,6.400000000000001e-05
306,760.0,671,179891,0.2,0.11480493943937524,705.904757624,True,False,6.400000000000001e-05
307,490.0,619,180510,0.2,0.09657723151387707,708.1323164120001,True,False,6.400000000000001e-05
308,540.0,544,181054,0.2,0.12380639670471497,710.105632473,True,False,6.400000000000001e-05
309,1380.0,793,181847,0.2,0.0991540012382573,712.8882811230001,True,False,6.400000000000001e-05
310,440.0,424,182271,0.2,0.08647509076509555,714.8442361790001,True,False,6.400000000000001e-05
311,830.0,790,183061,0.2,0.10087562030218918,717.9661724590001,True,False,6.400000000000001e-05
312,530.0,486,183547,0.2,0.09413930048688876,719.712317017,True,False,6.400000000000001e-05
313,360.0,390,183937,0.2,0.1352766626989659,721.154846915,True,False,6.400000000000001e-05
314,1440.0,888,184825,0.2,0.10959911696310784,724.2315091749999,True,False,6.400000000000001e-05
315,520.0,570,185395,0.2,0.11832709811155645,726.3663736240001,True,False,6.400000000000001e-05
316,210.0,327,185722,0.2,0.08225847920402884,728.05298797,True,False,6.400000000000001e-05
317,830.0,737,186459,0.2,0.10437298253300073,730.9194290760001,True,False,6.400000000000001e-05
318,580.0,509,186968,0.2,0.09681089609512128,732.773677724,True,False,6.400000000000001e-05
319,540.0,505,187473,0.2,0.10474452054098485,734.5878710700001,True,False,6.400000000000001e-05
320,450.0,547,188020,0.2,0.11494569510330249,736.5460503090001,True,False,6.400000000000001e-05
321,430.0,428,188448,0.2,0.10794050108954728,738.085382838,True,False,6.400000000000001e-05
322,1200.0,965,189413,0.2,0.11137943079548258,742.0185359459999,True,False,6.400000000000001e-05
323,720.0,831,190244,0.2,0.1020056412089616,744.931883532,True,False,6.400000000000001e-05
324,1520.0,886,191130,0.2,0.09757708332067297,747.9868844960001,True,False,6.400000000000001e-05
325,280.0,357,191487,0.2,0.0841798676659217,749.2991479540001,True,False,6.400000000000001e-05
326,510.0,666,192153,0.2,0.10579958714232474,754.595175511,True,False,6.400000000000001e-05
327,1450.0,939,193092,0.2,0.10565192952276545,757.9528044040001,True,False,6.400000000000001e-05
328,770.0,552,193644,0.2,0.087261735326678,759.99750421,True,False,6.400000000000001e-05
329,180.0,327,193971,0.2,0.07767502466837566,761.2318280740001,True,False,6.400000000000001e-05
330,720.0,650,194621,0.2,0.09698543609034248,763.594330547,True,False,6.400000000000001e-05
331,510.0,681,195302,0.2,0.13247412043787976,766.518752536,True,False,6.400000000000001e-05
332,490.0,533,195835,0.2,0.09648150473805074,768.603462364,True,False,6.400000000000001e-05
